"review_id","rating_date","count_helpful","count_unhelpful","employee_job_end_year","employee_length","employee_status","covid_related_review","flags_business_outlook","flags_ceo_approval","flags_recommend_frend","rating_culture_values","rating_diversity_inclusion","rating_overall","rating_work_life","summary","company_name","employee_location","employee_job_title","advice_to_management","review_pros","review_cons","rating_compensation_benefits","rating_senior_leadership","rating_career_opportunities","sector","rating_year","helpfulness_score","employee_job_quit","employee_job_start_year","has_review_text"
28951745,2019-08-30,10,0,2019,20,"REGULAR",0,"NEGATIVE","DISAPPROVE","NEGATIVE",1,3,2,1,"IT is Out of Control","Elevance Health","","Manager","Humble yourselves. Remember when you were coming up in your career. Respect your associates and appreciate all that they do to try and keep up with your ever changing orders. Stop treating people like numbers.","Salary was good for the position, but only because they never promoted anyone.","Relentless pressure from the top. Constantly changing direction. Senior management is easily sold on every shiny new toy, rather than strengthening existing infrastructure.",2,1,1,"Healthcare",2019,10,TRUE,1999,TRUE
59978917,2022-02-19,2,0,NA,6,"REGULAR",1,"POSITIVE","APPROVE","POSITIVE",3,5,5,2,"Great Company to work with","HDFC Bank","New Delhi","Assistant Vice President","Bring this great Company at par with similar great companies in India, e.g., Infosys, TATA, etc., in terms of work culture and environment.","Great brand name. Top Management are consistent on bank's goals and strategies. Constantly growing company.","Work hours do not adhere to internationally accepted standards. Supervisory culture still embedded in 20th century, with juniors addressing Supervisors as 'Sir', and Supervisor wielding his authority with abandon.",3,5,5,"Finance",2022,2,FALSE,2016,TRUE
42749601,2021-02-19,0,0,2021,2,"REGULAR",1,"POSITIVE","APPROVE","POSITIVE",5,5,4,5,"Great","Google","Chennai","Software Developer","Good","Good and best and bestest best","Not bad and not bad and not bad",5,5,3,"Technology",2021,0,TRUE,2019,TRUE
12095563,2016-09-27,4,0,2015,2,"REGULAR",0,"NEGATIVE","NO_OPINION","NEGATIVE",1,5,2,1,"Vodafone is an Egotistical Company that only cares about its net promoter score","Vodafone","London, England","Retail Store Manager","You have some amazing staff members who are totally disengaged. Your TNPS system is flawed. Your computer system Seibel, regardless of what you say, is not fit for purpose. People's jobs should not be on the line based on a survey score.","Unfortunately there were no pros during my time working for this company.","Retail stores are severely understaffed. The new system, Seibel, is not properly understood by staff. Bonuses are based on Net Promoter Score, specifically the first question: 'Would you recommend Vodafone to a friend or family?' Staff are penalized if a customer gives less than 9/10, potentially leading to job loss. Vodafone does not realize that people rank based on their whole experience, not just the last one. Most departments that can resolve customer issues are only available via email.",2,2,2,"Telecommunications",2016,4,TRUE,2013,TRUE
46084540,2021-04-26,0,0,NA,2,"REGULAR",1,"NEGATIVE","APPROVE","NEGATIVE",5,5,3,3,"Great company, poor processes, high expectations","Verizon","Rolling Meadows, IL","Business Account Manager","Handle customer escalations so BAMs can focus on sales. Be realistic about sales goals, especially given the recent environment. Fix broken processes, or figure out the chain of command so someone is accountable to get the problems fixed.","Working with business owners or employees to solve telecommunication and technology. Great salary, if sales goals are met.","Sales expectations are unrealistic. Due to Covid, the job shifted from outside sales to inside sales, becoming a glorified telemarketer role. Leadership micromanages and constantly changes directives. It's impossible to consistently perform without feeling overwhelmed and stressed, often working 50-60 hours per week. Operations and customer service teams are unhelpful, with broken and inconsistent processes, causing more problems for customers that Business Account Managers are expected to fix, even if they didn't create the issue.",4,2,3,"Telecommunications",2021,0,FALSE,2019,TRUE
58316203,2022-01-21,1,0,2021,2,"",1,"POSITIVE","APPROVE","POSITIVE",5,5,5,5,"Commercial Product Internship","Florida Blue","","","","Very inclusive and helpful environment which made succeeding in the role very achievable.","",5,5,3,"Finance",2022,1,TRUE,2019,TRUE
39919074,2020-12-29,7,0,2018,1,"",1,"NEUTRAL","DISAPPROVE","NEGATIVE",1,1,1,3,"Failing Product & Failing Management","YouTrip","","","","Decent work-life balance. Opportunity for learning.","Growth within the company is based on favoritism and proximity to the boss. No 13th month pay, performance bonus, or employee stock options. The CEO promised job retention in 2020, but staff were quietly let go, leading to disappointment and resignations among those who stayed.",1,1,3,"Finance",2020,7,TRUE,2017,TRUE
77730254,2023-06-26,3,0,2023,2,"",1,"NEGATIVE","DISAPPROVE","NEGATIVE",1,1,1,1,"Regrettable Experience - A Workplace To Be Wary Of","Chargebee","","","","Eye-opening: Teaches you exactly how a company should not be run. Compensation is tolerable. Diverse clientele: Exposure to a broad range of clients if you can tolerate the cons.","Communication breakdown: An endemic lack of communication exacerbates every problem. Soul-crushing work-life balance: Expectation to dedicate your life to the job; personal time and commitments are disregarded. Dead-end job: Promises of advancement are smoke and mirrors; no growth or meaningful recognition. Toxic culture: Cut-throat environment fosters hostility and stress; cooperation and collegiality are non-existent.",2,1,3,"Technology",2023,3,TRUE,2021,TRUE
20514877,2018-05-09,6,0,2018,4,"REGULAR",0,"NEGATIVE","NO_OPINION","NEGATIVE",2,5,1,2,"HR is a joke","TD","Tampa, FL","Store Supervisor","Get it together.","Most employees are great. Management will ask you to do things that are against policy, potentially leading to legal issues.","HR and upper management do not support employees who report ethical violations. When employees exceed goals (e.g., 200%), management questions why they are above goal instead of recognizing excellent sales ability. Payouts are the lowest seen at a financial institution. Clawbacks occur if customers close or charge off accounts within 90 days, negating sales credit and requiring double work to catch up. They don't run Chex Systems, leading to frequent clawbacks. Technology is poor. Hold times for Bank Support, Fraud Management, or Collection Department average an hour, meaning only about 5 customers can be helped per day for service instead of making sales. Most branches are open 7 days a week and late hours, but not all necessary departments are available during those times.",1,1,3,"Finance",2018,6,TRUE,2014,TRUE
39851660,2020-12-28,1,0,2020,1,"",1,"NEGATIVE","DISAPPROVE","NEGATIVE",1,1,1,1,"Worst company","360 Degree Cloud Technologies","","","","Although they are sweet initially at the time of interview, making everyone feel it is a great place to work, only the salary package is okay.","No job security. Management shouts at employees and makes them feel ashamed and embarrassed even for small mistakes. No good work culture. A lot of politics, especially senior people blame juniors for every mistake. Hiring process is too slow. Senior HRs are irresponsible, making teamwork difficult as they try to dominate and shift blame.",2,1,3,"Technology",2020,1,TRUE,2019,TRUE
70172378,2022-10-15,1,0,2022,4,"",1,"POSITIVE","APPROVE","NEGATIVE",4,5,3,2,"Don't expect to advance at your home store","Kum and Go","","","","Okay to work for.","Don't expect to be treated fairly by District and General Managers.",5,2,3,"Retail",2022,1,TRUE,2018,TRUE
